Original Schwarzenegger Quotes,Replacements,Other Suggestions
"val ParseError = ""WHAT THE FUCK DID I DO WRONG""",OH BOTHER,
"val DeclareInt = ""HEY CHRISTMAS TREE""",HELLO CHRIS MOLLOY SPEAKING,
"val SetInitialValue = ""YOU SET US UP""",LOOK AT THIS JOKER,
"val BeginMain = ""IT'S SHOWTIME""",FRONT ROWS TAKE AIM!,
"val PlusOperator = ""GET UP""",MUTOR,
"val MinusOperator = ""GET DOWN""",LITTLE RATBAG,
"val MultiplicationOperator = ""YOU'RE FIRED""",PARENTAL UNITS,
"val DivisionOperator = ""HE HAD TO SPLIT""",GET OUT OF HERE,
"val EndMain = ""YOU HAVE BEEN TERMINATED""",I'LL GO WASH THE DISHES,
"val Print = ""TALK TO THE HAND""",WHAT A DAG,
"val Read = ""I WANT TO ASK YOU A BUNCH OF QUESTIONS AND I WANT TO HAVE THEM ANSWERED IMMEDIATELY""",HOW ABOUT A GAME OF RUMMIKUB,
"val AssignVariable = ""GET TO THE CHOPPER""",WHAT A HARD CASE,
"val SetValue = ""HERE IS MY INVITATION""",YOU CRACK ME UP,
"val EndAssignVariable = ""ENOUGH TALK""",I'VE EATEN TOO MUCH,
"val False = ""I LIED""",NOT REALLY,
"val True = ""NO PROBLEMO""",YES,
"val EqualTo = ""YOU ARE NOT YOU YOU ARE ME""",NOW WHAT DOES THIS REMIND YOU OF,
"val GreaterThan = ""LET OFF SOME STEAM BENNET""",TASTIER THAN,
"val Or = ""CONSIDER THAT A DIVORCE""",NASE BLASEN,
"val And = ""KNOCK KNOCK""",AND,
"val If = ""BECAUSE I'M GOING TO SAY PLEASE""",IMAGINE IF,
"val Else = ""BULLSHIT""",OTHERWISE THERE WILL BE A CONSEQUENCE,
"val EndIf = ""YOU HAVE NO RESPECT FOR LOGIC""",I'M JUST GOING TO HAVE A FIVE MINUTE NAP,
"val While = ""STICK AROUND""",WHILE,
"val EndWhile = ""CHILL""",JUST ONE MORE GAME OF CIV,
"val DeclareMethod = ""LISTEN TO ME VERY CAREFULLY""",CONSTRUCTION STARTED,
"val MethodArguments = ""I NEED YOUR CLOTHES YOUR BOOTS AND YOUR MOTORCYCLE""",I DIDN'T CATCH THAT,
"val Return = ""I'LL BE BACK""",HERE YOU GO,
"val EndMethodDeclaration = ""HASTA LA VISTA, BABY""",I'M STUFFED,
"val CallMethod = ""DO IT NOW""",PASS ME THE VEGETABLE MATTER,
"val NonVoidMethod = ""GIVE THESE PEOPLE AIR""",RIGHTO,
"val AssignVariableFromMethodCall = ""GET YOUR ASS TO MARS""",KIDS LOOK OUT THE WINDOW,
"val Modulo = ""I LET HIM GO""",THERE'S A SHORTCUT AROUND HERE SOMEWHERE,
